Id,Suburb,Type,Price,Result,Seller,Date,Bedroom,Bathroom,Car,Size,Year Built,Council Area,Latitude,Longtitude,Region Name
416,Ashburton,House,1550000,Passed In,Marshall,2016-11-12,4,2,2,780,1938,Boroondara City Council,-37.86,145.0817,Southern Metropolitan
417,Ashburton,Townhouse,900000,Sold,Jellis,2016-11-19,3,2,2,153,1990,Boroondara City Council,-37.8655,145.0808,Southern Metropolitan
418,Ashburton,Townhouse,1250000,Passed In,Noel,2016-11-27,4,2,2,321,2007,Boroondara City Council,-37.8693,145.08,Southern Metropolitan
419,Ashburton,House,1600000,Sold,Marshall,2016-11-27,5,3,4,700,1950,Boroondara City Council,-37.8724,145.0758,Southern Metropolitan
420,Ashburton,House,1860000,Sold,Jellis,2016-11-27,4,2,3,696,2000,Boroondara City Council,-37.8711,145.0746,Southern Metropolitan
421,Ashburton,Townhouse,1710000,Sold,Marshall,2016-11-27,3,2,2,295,1990,Boroondara City Council,-37.8624,145.0798,Southern Metropolitan
422,Ashburton,House,1670000,Sold,Jellis,2016-12-03,3,2,2,599,1930,Boroondara City Council,-37.8673,145.0688,Southern Metropolitan
423,Ashburton,Townhouse,2050000,Sold,Fletchers,2016-12-03,3,3,4,310,2014,Boroondara City Council,-37.874,145.0714,Southern Metropolitan
424,Ashburton,House,1710000,Sold,hockingstuart,2016-12-10,3,1,2,806,1950,Boroondara City Council,-37.8695,145.084,Southern Metropolitan
425,Ashburton,House,1655000,Sold,Jellis,2016-12-10,3,1,3,780,1940,Boroondara City Council,-37.8599,145.0815,Southern Metropolitan
426,Ashburton,House,1800000,Sold,Jellis,2017-02-25,4,2,4,749,1950,Boroondara City Council,-37.8669,145.077,Southern Metropolitan
427,Ashburton,House,1830000,Sold,Jellis,2017-02-25,3,2,3,724,1940,Boroondara City Council,-37.8619,145.0879,Southern Metropolitan
428,Ashburton,Unit,500000,Passed In,Fletchers,2017-03-04,2,1,1,710,2010,Boroondara City Council,-37.8636,145.0794,Southern Metropolitan
429,Ashburton,House,3510000,Sold,Jellis,2017-03-18,5,5,2,755,2015,Boroondara City Council,-37.8598,145.0796,Southern Metropolitan
430,Ashburton,House,2220000,Sold,Marshall,2017-05-13,4,3,2,480,2016,Boroondara City Council,-37.8726,145.0716,Southern Metropolitan
431,Ashburton,Townhouse,1655000,Sold,hockingstuart,2017-06-03,4,3,2,510,2013,Boroondara City Council,-37.87159,145.0795,Southern Metropolitan
432,Ashburton,House,2405000,Sold,Jellis,2017-06-03,4,2,2,604,1930,Boroondara City Council,-37.86513,145.07919,Southern Metropolitan
433,Ashburton,Townhouse,1520000,Sold,Jellis,2017-08-12,4,3,2,267,2012,Boroondara City Council,-37.87036,145.08471,Southern Metropolitan
434,Ashburton,House,2299500,Sold,Jellis,2017-08-12,3,2,3,634,1940,Boroondara City Council,-37.86516,145.07958,Southern Metropolitan
435,Ashburton,House,1920000,Sold,Jellis,2017-08-19,4,3,2,391,2016,Boroondara City Council,-37.86664,145.08597,Southern Metropolitan
436,Ashburton,Townhouse,1650000,Passed In,Jellis,2017-08-26,4,2,1,338,2005,Boroondara City Council,-37.86058,145.08542,Southern Metropolitan
437,Ashburton,House,2550000,Sold,Marshall,2017-08-26,3,2,3,1170,1950,Boroondara City Council,-37.87253,145.0705,Southern Metropolitan
438,Ashburton,House,1555000,Sold,Jellis,2017-09-16,3,1,4,649,1950,Boroondara City Council,-37.87,145.08803,Southern Metropolitan
439,Ashburton,House,1210000,Sold,Jellis,2017-09-23,3,1,3,407,1955,Boroondara City Council,-37.8696,145.0866,Southern Metropolitan
440,Ashburton,House,2005000,Sold,Marshall,2017-10-14,4,2,2,572,1930,Boroondara City Council,-37.86688,145.06925,Southern Metropolitan
441,Ashburton,House,1870000,Sold Prior,Marshall,2017-10-28,3,1,2,689,1940,Boroondara City Council,-37.87286,145.07412,Southern Metropolitan
442,Ashburton,House,1595000,Sold,Jellis,2017-10-28,3,2,1,416,2000,Boroondara City Council,-37.86783,145.08307,Southern Metropolitan
443,Ashburton,House,1620000,Sold,Purplebricks,2017-10-28,3,1,3,637,1947,Boroondara City Council,-37.87044,145.08609,Southern Metropolitan
444,Ashburton,House,2350000,Sold Prior,Marshall,2017-12-09,4,2,2,626,1950,Boroondara City Council,-37.87364,145.07263,Southern Metropolitan
445,Ashburton,House,2850500,Sold,Jellis,2018-03-03,5,2,2,697,2013,Boroondara City Council,-37.87132,145.07267,Southern Metropolitan
446,Ashwood,Unit,690000,Sold,Ray,2016-05-14,2,1,1,216,2003,Monash City Council,-37.8711,145.1017,Southern Metropolitan
447,Ashwood,House,1200000,Passed In,Buxton,2016-05-28,3,2,2,839,1970,Monash City Council,-37.8614,145.1098,Southern Metropolitan
448,Ashwood,House,1075000,Passed In,Jellis,2016-06-04,2,1,2,695,1950,Monash City Council,-37.8694,145.0944,Southern Metropolitan
449,Ashwood,House,1500000,Sold,Fletchers,2016-08-06,2,2,2,621,2000,Monash City Council,-37.8647,145.1023,Southern Metropolitan
450,Ashwood,Unit,700000,Sold,hockingstuart,2016-08-22,2,1,2,192,2007,Monash City Council,-37.8709,145.102,Southern Metropolitan
451,Ashwood,Townhouse,830000,Sold,Barry Plant,2016-08-28,2,1,2,212,2012,Monash City Council,-37.8723,145.1089,Southern Metropolitan
452,Ashwood,House,1365000,Sold,Fletchers,2016-09-10,3,1,1,792,1950,Monash City Council,-37.864,145.0972,Southern Metropolitan
453,Ashwood,House,1529500,Sold,Buxton,2016-09-17,5,3,2,585,2000,Monash City Council,-37.8637,145.1024,Southern Metropolitan
454,Ashwood,House,1110000,Sold,Fletchers,2016-09-24,2,1,1,586,1950,Monash City Council,-37.8683,145.1082,Southern Metropolitan
455,Ashwood,House,1631000,Sold,Jellis,2016-10-15,3,2,3,782,1950,Monash City Council,-37.8621,145.1021,Southern Metropolitan
456,Ashwood,House,1500000,Sold,Buxton,2016-10-15,4,2,1,593,1930,Monash City Council,-37.8655,145.096,Southern Metropolitan
457,Ashwood,Townhouse,700000,Sold,hockingstuart,2016-11-07,2,1,2,367,1970,Monash City Council,-37.8662,145.109,Southern Metropolitan
458,Ashwood,House,761000,Passed In,Fletchers,2016-11-07,3,2,4,400,1950,Monash City Council,-37.8675,145.106,Southern Metropolitan
459,Ashwood,House,785000,Sold,Buxton,2016-11-19,3,1,1,557,1960,Monash City Council,-37.8671,145.1117,Southern Metropolitan
460,Ashwood,Townhouse,900500,Sold,Jellis,2016-11-27,3,2,2,256,2012,Monash City Council,-37.8655,145.1096,Southern Metropolitan
461,Ashwood,House,1305000,Sold,Jellis,2017-02-25,3,1,1,760,1960,Monash City Council,-37.858,145.1038,Southern Metropolitan
462,Ashwood,House,855000,Sold,Noel,2017-02-25,3,2,1,320,1958,Monash City Council,-37.87,145.1103,Southern Metropolitan
463,Ashwood,House,1200000,Sold Prior,Purplebricks,2017-03-04,4,3,2,372,2016,Monash City Council,-37.8716,145.0999,Southern Metropolitan
464,Ashwood,Unit,600000,Sold,Noel,2017-03-18,2,1,1,153,1970,Monash City Council,-37.8696,145.0962,Southern Metropolitan
465,Ashwood,House,1495000,Sold,Barry Plant,2017-04-08,2,1,2,803,1950,Monash City Council,-37.8683,145.1064,Southern Metropolitan
466,Ashwood,Unit,822000,Sold,Marshall,2017-04-08,2,1,1,78,1970,Monash City Council,-37.8677,145.0981,Southern Metropolitan
467,Ashwood,Townhouse,770000,Sold Prior,Buxton,2017-04-08,2,1,2,162,2010,Monash City Council,-37.871,145.0994,Southern Metropolitan
468,Ashwood,Unit,890000,Sold,Jellis,2017-05-20,3,2,2,235,2006,Monash City Council,-37.8625,145.1083,Southern Metropolitan
469,Ashwood,House,1680000,Sold,Jellis,2017-06-17,4,3,3,726,1958,Monash City Council,-37.85842,145.10288,Southern Metropolitan
470,Ashwood,House,860000,Sold,Purplebricks,2017-06-17,3,2,2,280,1990,Monash City Council,-37.87105,145.10198,Southern Metropolitan
471,Ashwood,House,1420000,Sold,Fletchers,2017-07-15,3,1,1,726,1965,Monash City Council,-37.86173,145.11074,Southern Metropolitan
472,Ashwood,House,1450000,Sold,Fletchers,2017-07-22,4,2,1,803,1965,Monash City Council,-37.86162,145.11042,Southern Metropolitan
473,Ashwood,Townhouse,1060000,Sold,Buxton,2017-07-22,3,2,2,343,2000,Monash City Council,-37.86324,145.10289,Southern Metropolitan
474,Ashwood,House,1540000,Sold,Jellis,2017-07-29,4,2,3,668,1970,Monash City Council,-37.86096,145.10026,Southern Metropolitan
475,Ashwood,House,1575000,Sold,Jellis,2017-08-19,3,1,2,787,1955,Monash City Council,-37.86394,145.09702,Southern Metropolitan
476,Ashwood,House,1360000,Passed In,Buxton,2017-12-09,4,2,2,701,1950,Monash City Council,-37.86138,145.09694,Southern Metropolitan
477,Ashwood,House,1554000,Sold,hockingstuart,2018-02-24,3,2,4,698,1945,Monash City Council,-37.86131,145.09638,Southern Metropolitan
478,Ashwood,House,1850000,Sold,Buxton,2018-02-24,4,3,2,746,1960,Monash City Council,-37.86491,145.09752,Southern Metropolitan
479,Ashwood,House,1150000,Passed In,Jellis,2018-03-17,3,1,3,621,1960,Monash City Council,-37.87229,145.10489,Southern Metropolitan
480,Aspendale,House,970000,Passed In,hockingstuart,2017-07-22,4,2,2,612,1960,Kingston City Council,-38.01596,145.09932,South-Eastern Metropolitan
481,Aspendale,House,780000,Passed In,Ray,2017-09-09,3,1,2,292,1955,Kingston City Council,-38.01908,145.09702,South-Eastern Metropolitan
482,Aspendale,House,1000000,Sold,Buxton,2018-01-06,3,1,2,556,1970,Kingston City Council,-38.02357,145.10492,South-Eastern Metropolitan
483,Aspendale,House,830000,Sold Prior,Barry Plant,2018-01-06,3,1,2,535,1980,Kingston City Council,-38.02493,145.1101,South-Eastern Metropolitan
484,Aspendale,Townhouse,1095000,Sold,Buxton,2018-03-03,3,2,1,284,2012,Kingston City Council,-38.01646,145.09967,South-Eastern Metropolitan
485,Aspendale,House,940000,Sold,hockingstuart,2018-03-17,4,2,2,635,1995,Kingston City Council,-38.02416,145.11053,South-Eastern Metropolitan
486,Aspendale Gardens,House,867500,Sold,Ray,2017-12-09,4,2,2,529,1990,Kingston City Council,-38.02704,145.1291,South-Eastern Metropolitan
487,Attwood,House,941000,Sold,Barry Plant,2017-10-21,4,2,2,760,1999,Hume City Council,-37.67355,144.89234,Northern Metropolitan
488,Attwood,House,840000,Passed In,Barry Plant,2017-10-28,4,2,2,600,2011,Hume City Council,-37.67087,144.87814,Northern Metropolitan
489,Attwood,House,714000,Sold,YPA,2017-10-28,4,1,2,656,1982,Hume City Council,-37.67373,144.89627,Northern Metropolitan
490,Attwood,House,820000,Passed In,Barry Plant,2017-12-09,4,2,3,657,2004,Hume City Council,-37.66884,144.88636,Northern Metropolitan
491,Attwood,House,915000,Sold Prior,Barry Plant,2017-12-09,4,2,2,704,2000,Hume City Council,-37.67061,144.89095,Northern Metropolitan
492,Attwood,House,805000,Passed In,Barry Plant,2018-02-24,4,2,2,630,2000,Hume City Council,-37.6712,144.87911,Northern Metropolitan
493,Avondale Heights,House,705000,Sold,Nelson,2016-05-22,3,1,1,581,1960,Moonee Valley City Council,-37.7691,144.8575,Western Metropolitan
494,Avondale Heights,House,1100000,Passed In,Brad,2016-05-22,4,3,2,873,1992,Moonee Valley City Council,-37.7609,144.8639,Western Metropolitan
495,Avondale Heights,House,892500,Sold,Nelson,2016-05-22,3,1,1,586,1965,Moonee Valley City Council,-37.7642,144.8603,Western Metropolitan
496,Avondale Heights,House,634000,Sold,Nelson,2016-05-28,4,2,1,582,1950,Moonee Valley City Council,-37.7584,144.8568,Western Metropolitan
497,Avondale Heights,House,1155000,Sold,Nelson,2016-06-04,3,2,2,569,2008,Moonee Valley City Council,-37.7654,144.8655,Western Metropolitan
498,Avondale Heights,House,762000,Sold,Nelson,2016-07-26,4,2,2,589,1961,Moonee Valley City Council,-37.7573,144.8534,Western Metropolitan
499,Avondale Heights,House,680000,Sold,Nelson,2016-08-06,3,1,2,570,1970,Moonee Valley City Council,-37.7591,144.8542,Western Metropolitan
500,Avondale Heights,House,642000,Sold Prior,Moonee,2016-08-28,3,1,1,590,1960,Moonee Valley City Council,-37.7567,144.8572,Western Metropolitan
501,Avondale Heights,House,850000,Sold,Moonee,2016-09-03,3,1,1,593,1970,Moonee Valley City Council,-37.7677,144.8674,Western Metropolitan
502,Avondale Heights,House,522500,Sold,Nelson,2016-09-24,2,1,1,220,1995,Moonee Valley City Council,-37.756,144.8641,Western Metropolitan
503,Avondale Heights,House,680000,Passed In,Nelson,2016-09-24,4,2,2,554,1960,Moonee Valley City Council,-37.7649,144.8633,Western Metropolitan
504,Avondale Heights,Unit,500000,Sold,Nelson,2016-09-24,3,1,1,260,1990,Moonee Valley City Council,-37.7507,144.8576,Western Metropolitan
505,Avondale Heights,Townhouse,550000,Sold Prior,Moonee,2016-09-24,2,1,2,158,1993,Moonee Valley City Council,-37.7592,144.8681,Western Metropolitan
506,Avondale Heights,House,627500,Sold Prior,Moonee,2016-10-08,3,1,1,550,1970,Moonee Valley City Council,-37.7632,144.8622,Western Metropolitan
507,Avondale Heights,House,805000,Sold,Nelson,2016-11-27,3,2,2,593,1970,Moonee Valley City Council,-37.7607,144.8581,Western Metropolitan
508,Avondale Heights,House,890000,Sold,Moonee,2016-11-27,4,2,4,585,1960,Moonee Valley City Council,-37.757,144.8566,Western Metropolitan
509,Avondale Heights,Townhouse,851000,Sold,Nelson,2016-12-03,3,3,1,557,2017,Moonee Valley City Council,-37.77,144.8572,Western Metropolitan
510,Avondale Heights,House,950000,Sold,Moonee,2016-12-10,4,3,3,761,1970,Moonee Valley City Council,-37.7524,144.8714,Western Metropolitan
511,Avondale Heights,Townhouse,585000,Sold,Barry Plant,2017-02-11,2,1,1,136,2012,Moonee Valley City Council,-37.7623,144.8613,Western Metropolitan
512,Avondale Heights,House,806000,Sold,Moonee,2017-03-04,4,2,1,350,2008,Moonee Valley City Council,-37.7676,144.859,Western Metropolitan
513,Avondale Heights,Unit,440000,Sold,Nelson,2017-03-18,2,1,1,263,1999,Moonee Valley City Council,-37.7697,144.8657,Western Metropolitan
514,Avondale Heights,House,760000,Sold Prior,Moonee,2017-04-22,3,1,1,585,1960,Moonee Valley City Council,-37.7574,144.8574,Western Metropolitan
515,Avondale Heights,Unit,765000,Sold,Moonee,2017-05-06,3,2,1,292,2008,Moonee Valley City Council,-37.7593,144.8561,Western Metropolitan
516,Avondale Heights,House,1300000,Sold Prior,Nelson,2017-05-20,4,3,2,656,1990,Moonee Valley City Council,-37.7522,144.8659,Western Metropolitan
517,Avondale Heights,House,835000,Sold Prior,Nelson,2017-05-27,4,2,2,573,1960,Moonee Valley City Council,-37.76272,144.85569,Western Metropolitan
518,Avondale Heights,House,945000,Sold,Moonee,2017-06-03,5,2,1,570,1950,Moonee Valley City Council,-37.76848,144.86294,Western Metropolitan
519,Avondale Heights,House,750000,Sold Prior,Moonee,2017-06-17,3,1,1,585,1965,Moonee Valley City Council,-37.75986,144.85886,Western Metropolitan
520,Avondale Heights,House,773000,Sold,Moonee,2017-06-24,4,2,2,344,2004,Moonee Valley City Council,-37.75861,144.86687,Western Metropolitan
521,Avondale Heights,House,720000,Passed In,Harcourts,2017-07-08,3,1,1,582,1965,Moonee Valley City Council,-37.76063,144.8603,Western Metropolitan
522,Avondale Heights,House,1107500,Sold,Nelson,2017-07-08,3,3,1,668,2014,Moonee Valley City Council,-37.75962,144.86675,Western Metropolitan
523,Avondale Heights,House,934000,Sold,Moonee,2017-07-15,4,2,1,581,1975,Moonee Valley City Council,-37.76421,144.85594,Western Metropolitan
524,Avondale Heights,House,750000,Passed In,Barry Plant,2017-07-22,3,1,2,561,1990,Moonee Valley City Council,-37.7528,144.85585,Western Metropolitan
525,Avondale Heights,House,800000,Passed In,Barry Plant,2017-07-22,5,2,3,577,1985,Moonee Valley City Council,-37.75261,144.85631,Western Metropolitan
526,Avondale Heights,Unit,470000,Sold,Brad,2017-09-16,2,1,1,1150,1970,Moonee Valley City Council,-37.77091,144.86571,Western Metropolitan
527,Avondale Heights,House,785000,Passed In,Nelson,2017-10-14,3,1,1,595,1950,Moonee Valley City Council,-37.76342,144.86305,Western Metropolitan
528,Avondale Heights,House,900000,Sold,Moonee,2017-10-21,3,1,1,550,1975,Moonee Valley City Council,-37.75486,144.8655,Western Metropolitan
529,Avondale Heights,House,865000,Sold Prior,Brad,2017-10-28,3,1,2,590,1960,Moonee Valley City Council,-37.76092,144.85603,Western Metropolitan
530,Avondale Heights,House,801000,Sold,Hodges,2017-10-28,3,2,2,580,1950,Moonee Valley City Council,-37.76132,144.85619,Western Metropolitan
531,Avondale Heights,House,702500,Sold,Nelson,2017-10-28,3,1,1,201,2005,Moonee Valley City Council,-37.75728,144.85825,Western Metropolitan
532,Avondale Heights,House,900000,Passed In,Nelson,2017-10-28,4,3,1,612,1970,Moonee Valley City Council,-37.7526,144.85488,Western Metropolitan
533,Avondale Heights,House,1100000,Sold Prior,Moonee,2017-11-11,3,2,2,668,1980,Moonee Valley City Council,-37.7593,144.871,Western Metropolitan
534,Avondale Heights,House,790000,Passed In,LITTLE,2017-11-11,3,2,2,537,1970,Moonee Valley City Council,-37.7528,144.8567,Western Metropolitan
535,Avondale Heights,House,1068000,Sold,Nelson,2017-11-18,4,2,1,604,1970,Moonee Valley City Council,-37.7687,144.8602,Western Metropolitan
536,Avondale Heights,House,970000,Sold Prior,Moonee,2017-12-09,4,2,2,534,2000,Moonee Valley City Council,-37.76643,144.85492,Western Metropolitan
537,Avondale Heights,Townhouse,970000,Sold Prior,Moonee,2017-12-09,3,2,1,534,1960,Moonee Valley City Council,-37.76972,144.85516,Western Metropolitan
538,Avondale Heights,House,727500,Sold,Barry Plant,2018-01-06,3,1,1,641,1970,Moonee Valley City Council,-37.7576,144.85979,Western Metropolitan
539,Avondale Heights,House,730000,Sold,Moonee,2018-02-03,3,1,2,409,1975,Moonee Valley City Council,-37.76406,144.86071,Western Metropolitan
540,Bacchus Marsh,House,412000,Sold,FN,2017-10-07,3,2,2,818,1990,Moorabool Shire Council,-37.66869,144.42379,Western Victoria
541,Balaclava,House,1193000,Sold,McGrath,2016-06-18,3,1,1,178,1920,Port Phillip City Council,-37.8663,144.9948,Southern Metropolitan
542,Balaclava,Unit,540000,Passed In,McGrath,2016-06-27,2,1,1,483,1970,Port Phillip City Council,-37.8727,144.9969,Southern Metropolitan
543,Balaclava,House,1080000,Sold,Buxton,2016-06-27,3,1,1,157,1928,Port Phillip City Council,-37.8696,144.9925,Southern Metropolitan
544,Balaclava,House,1819000,Sold,Gary,2016-09-03,3,2,1,244,1900,Port Phillip City Council,-37.8668,144.9928,Southern Metropolitan
545,Balaclava,Townhouse,1015000,Sold,Gary,2016-11-07,2,1,2,114,2000,Port Phillip City Council,-37.8723,144.9961,Southern Metropolitan
546,Balaclava,House,981000,Sold,Buxton,2017-02-25,2,1,0,159,1930,Port Phillip City Council,-37.874,144.9933,Southern Metropolitan
547,Balaclava,House,1690000,Sold,McGrath,2017-02-25,3,2,2,339,1890,Port Phillip City Council,-37.872,144.9909,Southern Metropolitan
548,Balaclava,Unit,600000,Passed In,Buxton,2017-09-03,2,1,1,2283,1980,Port Phillip City Council,-37.87078,144.99898,Southern Metropolitan
549,Balaclava,House,1170000,Sold Prior,hockingstuart,2017-12-09,2,1,1,156,1890,Port Phillip City Council,-37.86955,144.99218,Southern Metropolitan
550,Balwyn,House,700000,Passed In,Marshall,2016-05-07,3,1,1,188,1970,Boroondara City Council,-37.8065,145.065,Southern Metropolitan
551,Balwyn,House,2125000,Sold Prior,Jellis,2016-05-07,3,2,2,699,1985,Boroondara City Council,-37.814,145.0966,Southern Metropolitan
552,Balwyn,House,3290000,Sold,Jellis,2016-05-22,4,3,2,1007,1910,Boroondara City Council,-37.8135,145.0995,Southern Metropolitan
553,Balwyn,Townhouse,1100000,Sold,hockingstuart,2016-05-28,3,2,1,259,1940,Boroondara City Council,-37.8161,145.0809,Southern Metropolitan
554,Balwyn,House,3020000,Passed In,Jellis,2016-05-28,5,3,2,715,2009,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan
555,Balwyn,House,2450000,Sold,Marshall,2016-05-28,4,2,2,981,1960,Boroondara City Council,-37.8058,145.0627,Southern Metropolitan
556,Balwyn,House,1140000,Sold,Nelson,2016-06-04,3,2,2,175,1976,Boroondara City Council,-37.8162,145.0771,Southern Metropolitan
557,Balwyn,House,2800000,Passed In,Marshall,2016-06-04,5,3,2,678,2001,Boroondara City Council,-37.8048,145.0708,Southern Metropolitan
558,Balwyn,House,2000000,Passed In,hockingstuart,2016-06-27,3,1,2,739,1930,Boroondara City Council,-37.8039,145.0631,Southern Metropolitan
559,Balwyn,Unit,1053000,Sold,Fletchers,2016-07-16,2,1,2,231,1985,Boroondara City Council,-37.8123,145.0821,Southern Metropolitan
560,Balwyn,House,1800000,Passed In,Marshall,2016-07-16,3,2,2,380,1980,Boroondara City Council,-37.8161,145.0772,Southern Metropolitan
561,Balwyn,Townhouse,1472000,Sold,Noel,2016-07-16,3,2,2,306,1995,Boroondara City Council,-37.8106,145.0848,Southern Metropolitan
562,Balwyn,House,1700000,Passed In,Marshall,2016-07-30,3,1,1,672,1935,Boroondara City Council,-37.8099,145.0792,Southern Metropolitan
563,Balwyn,House,1850000,Passed In,Fletchers,2016-08-06,3,1,1,1015,1930,Boroondara City Council,-37.8074,145.0826,Southern Metropolitan
564,Balwyn,Unit,805000,Sold,Noel,2016-08-06,3,1,1,209,1975,Boroondara City Council,-37.8125,145.0901,Southern Metropolitan
565,Balwyn,Unit,625000,Passed In,Jellis,2016-08-13,2,1,1,115,1960,Boroondara City Council,-37.8122,145.0879,Southern Metropolitan
566,Balwyn,Unit,730000,Sold,hockingstuart,2016-08-28,2,1,1,130,1960,Boroondara City Council,-37.812,145.0876,Southern Metropolitan
567,Balwyn,House,1500000,Sold Prior,Noel,2016-08-28,3,2,2,404,2011,Boroondara City Council,-37.8075,145.1011,Southern Metropolitan
568,Balwyn,House,1850000,Sold,Fletchers,2016-08-28,3,1,1,607,1950,Boroondara City Council,-37.8058,145.0781,Southern Metropolitan
569,Balwyn,House,2100000,Sold,Marshall,2016-09-03,2,1,1,659,1920,Boroondara City Council,-37.8094,145.0807,Southern Metropolitan
570,Balwyn,House,1800000,Passed In,Marshall,2016-09-03,4,2,2,715,1985,Boroondara City Council,-37.811,145.0958,Southern Metropolitan
571,Balwyn,Townhouse,1255000,Sold,Noel,2016-09-03,2,1,1,208,2000,Boroondara City Council,-37.8128,145.0975,Southern Metropolitan
572,Balwyn,House,2410000,Sold,Fletchers,2016-09-24,4,2,1,685,1940,Boroondara City Council,-37.8056,145.071,Southern Metropolitan
573,Balwyn,House,1800000,Passed In,Jellis,2016-10-08,3,2,2,577,1948,Boroondara City Council,-37.8032,145.0693,Southern Metropolitan
574,Balwyn,House,2730000,Sold,RT,2016-10-15,4,3,2,674,1997,Boroondara City Council,-37.8068,145.0786,Southern Metropolitan
575,Balwyn,Townhouse,1400000,Passed In,Noel,2016-11-12,4,3,2,241,2009,Boroondara City Council,-37.8042,145.1042,Southern Metropolitan
576,Balwyn,House,3270000,Sold,Fletchers,2016-11-12,4,2,4,935,1927,Boroondara City Council,-37.8157,145.0795,Southern Metropolitan
577,Balwyn,House,2188000,Sold,Marshall,2016-11-19,4,2,2,752,1981,Boroondara City Council,-37.8149,145.0747,Southern Metropolitan
578,Balwyn,Unit,755000,Passed In,Noel,2016-11-19,2,1,1,213,1980,Boroondara City Council,-37.8092,145.0789,Southern Metropolitan
579,Balwyn,House,3401000,Sold,Jellis,2016-11-27,3,2,1,706,1930,Boroondara City Council,-37.8161,145.0748,Southern Metropolitan
580,Balwyn,House,1750000,Passed In,Jellis,2016-11-27,3,2,3,613,1943,Boroondara City Council,-37.8056,145.0688,Southern Metropolitan
581,Balwyn,Unit,1070000,Sold After Auction,Philip,2016-12-03,3,2,2,206,1998,Boroondara City Council,-37.8161,145.0812,Southern Metropolitan
582,Balwyn,House,2570000,Passed In,RT,2016-12-03,5,3,2,715,2009,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan
583,Balwyn,House,2400000,Passed In,RW,2016-12-03,4,2,2,744,1985,Boroondara City Council,-37.8147,145.0748,Southern Metropolitan
584,Balwyn,Unit,806000,Sold,Noel,2016-12-03,2,1,1,122,1977,Boroondara City Council,-37.8124,145.0916,Southern Metropolitan
585,Balwyn,House,4000000,Passed In,Jellis,2016-12-03,6,4,7,2051,1935,Boroondara City Council,-37.8051,145.1016,Southern Metropolitan
586,Balwyn,House,2250000,Passed In,Noel,2016-12-03,5,3,2,600,2006,Boroondara City Council,-37.8061,145.0801,Southern Metropolitan
587,Balwyn,House,905000,Sold,Kay,2016-12-10,3,1,2,281,1995,Boroondara City Council,-37.8013,145.0652,Southern Metropolitan
588,Balwyn,Townhouse,1367000,Sold,Jellis,2016-12-10,3,2,2,219,2003,Boroondara City Council,-37.8125,145.0849,Southern Metropolitan
589,Balwyn,House,2550000,Sold,Marshall,2016-12-10,5,3,2,642,1930,Boroondara City Council,-37.8096,145.0735,Southern Metropolitan
590,Balwyn,Unit,754000,Passed In,Marshall,2017-03-18,2,1,1,87,1990,Boroondara City Council,-37.8134,145.081,Southern Metropolitan
591,Balwyn,Townhouse,1680000,Sold,Fletchers,2017-04-22,3,3,1,329,2005,Boroondara City Council,-37.8101,145.0844,Southern Metropolitan
592,Balwyn,Unit,725000,Passed In,Noel,2017-05-27,2,1,1,136,1975,Boroondara City Council,-37.80626,145.08776,Southern Metropolitan
593,Balwyn,Unit,602000,Sold,Noel,2017-05-27,2,1,1,1129,1960,Boroondara City Council,-37.81623,145.0841,Southern Metropolitan
594,Balwyn,House,2380000,Sold,Ray,2017-06-17,3,2,2,752,1938,Boroondara City Council,-37.80648,145.08274,Southern Metropolitan
595,Balwyn,House,2100000,Passed In,hockingstuart,2017-06-17,1,1,1,678,2016,Boroondara City Council,-37.80292,145.06424,Southern Metropolitan
596,Balwyn,House,3050000,Passed In,RT,2017-06-17,4,4,2,613,2009,Boroondara City Council,-37.81167,145.08595,Southern Metropolitan
597,Balwyn,House,2330000,Sold,Jellis,2017-07-15,3,2,4,656,1970,Boroondara City Council,-37.8079,145.09162,Southern Metropolitan
598,Balwyn,House,2360000,Sold,Fletchers,2017-08-12,4,3,2,848,1926,Boroondara City Council,-37.81462,145.08776,Southern Metropolitan
599,Balwyn,House,2750000,Passed In,hockingstuart,2017-09-09,5,5,2,1235,2016,Boroondara City Council,-37.80563,145.10304,Southern Metropolitan
600,Balwyn,House,2730000,Sold,Jellis,2017-09-16,3,2,2,679,1940,Boroondara City Council,-37.80576,145.06979,Southern Metropolitan
601,Balwyn,House,2580000,Passed In,Marshall,2017-09-23,5,5,2,621,2009,Boroondara City Council,-37.80199,145.06486,Southern Metropolitan
602,Balwyn,House,1425000,Sold,Ray,2017-10-14,3,1,2,317,1994,Boroondara City Council,-37.81266,145.09329,Southern Metropolitan
603,Balwyn,House,3600000,Passed In,Fletchers,2017-10-14,5,4,3,611,2017,Boroondara City Council,-37.8184,145.08624,Southern Metropolitan
604,Balwyn,House,3300000,Passed In,Marshall,2017-10-21,3,2,2,998,1955,Boroondara City Council,-37.81691,145.07615,Southern Metropolitan
605,Balwyn,House,2600000,Passed In,Noel,2017-10-21,4,3,2,650,1940,Boroondara City Council,-37.80824,145.07432,Southern Metropolitan
606,Balwyn,House,3350000,Sold,Fletchers,2017-10-21,5,4,2,600,2011,Boroondara City Council,-37.80984,145.08321,Southern Metropolitan
607,Balwyn,House,2400000,Passed In,Marshall,2017-10-28,3,1,2,893,1948,Boroondara City Council,-37.80513,145.09383,Southern Metropolitan
